PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate, PaidAmt ,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate, PledgeAmtLocal , PaidAmtLocal 
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2017/3521,2017,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,02-12-15,9024485.69,01-01-01,29-12-17,"8,043,300.00",01-01-01,GBP ,0.66,GBP ,0.75,"5,992,258","5,992,259"
23,Afghanistan,AFG23,CHF/000232/HAF10/6-2017/4183,2017,Government of Switzerland,16,24,Switzerland,CH,08-12-16,199965,01-01-01,21-07-17,"199,965.00",01-01-01,USD ,1,USD ,1,"199,965","199,965"
23,Afghanistan,AFG23,CHF/000187/HAF10/4-2017/4457,2017,Government of Norway,12,17,Norway,NO,24-04-17,2109784.11,01-01-01,03-05-17,"2,109,293.80",01-01-01,NOK ,8.6,NOK ,8.61,"18,152,582","18,152,582"
23,Afghanistan,AFG23,CHF/000204/HAF10/9-2017/4673,2017,Government of Republic of Korea,14,63,Republic of Korea,KR,20-09-17,5899513,01-01-01,01-11-17,"5,899,513.00",01-01-01,USD ,1,USD ,1,"5,899,513","5,899,513"
23,Afghanistan,AFG23,CHF/000055/HAF10/2-2017/3807,2017,Government of Australia,2,3,Australia,AU,03-05-16,6154315.76,01-01-01,10-02-17,"6,103,184.74",01-01-01,AUD ,1.31,AUD ,1.32,"8,080,617","8,080,617"
23,Afghanistan,AFG23,CHF/000095/HAF10/1-2017/4300,2017,Government of Denmark,5,8,Denmark,DK,09-01-17,2842726.17,01-01-01,10-01-17,"2,842,726.17",01-01-01,DKK ,7.1,DKK ,7.1,"20,191,884","20,191,884"
23,Afghanistan,AFG23,CHF/000095/HAF10/11-2018/5410,2018,Government of Denmark,5,8,Denmark,DK,26-11-18,3028770.38,01-01-01,04-12-18,"3,032,002.79",01-01-01,DKK ,6.57,DKK ,6.56,"19,886,906","19,886,906"
23,Afghanistan,AFG23,CHF/000117/HAF10/11-2018/5411,2018,Government of Germany,7,11,Germany,DE,05-11-18,568106,01-01-01,21-11-18,"568,106.00",01-01-01,EUR ,0.88,EUR ,0.88,"499,933","499,933"
23,Afghanistan,AFG23,CHF/000055/HAF10/6-2018/5148,2018,Government of Australia,2,3,Australia,AU,18-05-18,766602.74,01-01-01,05-06-18,"764,291.95",01-01-01,AUD ,1.32,AUD ,1.33,"1,014,215","1,014,215"
23,Afghanistan,AFG23,CHF/000204/HAF10/12-2018/5504,2018,Government of Republic of Korea,14,63,Republic of Korea,KR,13-12-18,1000000,01-01-01,27-12-18,"1,000,000.00",01-01-01,USD ,1,USD ,1,"1,000,000","1,000,000"
23,Afghanistan,AFG23,CHF/000187/HAF10/9-2018/5294,2018,Government of Norway,12,17,Norway,NO,29-08-18,2162256.45,01-01-01,14-09-18,"2,163,811.66",01-01-01,NOK ,8.35,NOK ,8.34,"18,050,517","18,050,517"
23,Afghanistan,AFG23,CHF/000232/HAF10/6-2018/4183,2018,Government of Switzerland,16,24,Switzerland,CH,08-12-16,399965,01-01-01,11-07-18,"399,965.00",01-01-01,USD ,1,USD ,1,"399,965","399,965"
23,Afghanistan,AFG23,CHF/000232/HAF10/11-2018/5432,2018,Government of Switzerland,16,24,Switzerland,CH,16-11-18,719965,01-01-01,03-12-18,"719,965.00",01-01-01,USD ,1,USD ,1,"719,965","719,965"
23,Afghanistan,AFG23,CHF/000551/HAF10/11-2018/5370,2018,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,01-11-18,16071250,01-01-01,14-11-18,"16,071,250.00",01-01-01,GBP ,0.78,GBP ,0.78,"12,599,860","12,599,860"
23,Afghanistan,AFG23,CHF/000551/HAF10/9-2018/3521,2018,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,02-12-15,8945246.39,01-01-01,26-06-18,"7,940,700.00",01-01-01,GBP ,0.66,GBP ,0.75,"5,939,644","5,939,644"
23,Afghanistan,AFG23,CHF/000555/HAF10/2-2018/5030,2018,Sida,20,22,Sweden,SE,30-01-18,7088472.1,01-01-01,12-02-18,"7,410,511.83",01-01-01,SEK ,8.24,SEK ,7.88,"58,394,833","58,394,833"
23,Afghanistan,AFG23,CHF/000555/HAF10/7-2018/5216,2018,Sida,20,22,Sweden,SE,09-07-18,1668305,01-01-01,05-07-18,"1,668,305.00",01-01-01,SEK ,8.99,SEK ,8.99,"14,999,730","14,999,730"
23,Afghanistan,AFG23,CHF/000555/HAF10/10-2018/5344,2018,Sida,20,22,Sweden,SE,12-10-18,3184107.72,01-01-01,22-10-18,"3,117,263.74",01-01-01,SEK ,8.81,SEK ,9,"28,064,725","28,064,725"
23,Afghanistan,AFG23,CHF/012298/HAF10/4-2018/5133,2018,Qatar Fund for Development,130,87,Qatar,QA,26-04-18,999960,01-01-01,12-06-18,"999,960.00",01-01-01,USD ,1,USD ,1,"999,960","999,960"
23,Afghanistan,AFG23,CHF/012386/HAF10/12-2018/5210,2018,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),UNF,01-06-18,2339.03,01-01-01,01-08-18,"2,339.03",01-01-01,USD ,1,USD ,1,"2,339","2,339"
23,Afghanistan,AFG23,CHF/012298/HAF10/5-2019/5133,2019,Qatar Fund for Development,130,87,Qatar,QA,26-04-18,999960,01-01-01,30-07-19,"999,960.00",01-01-01,USD ,1,USD ,1,"999,960","999,960"
23,Afghanistan,AFG23,CHF/000555/HAF10/7-2019/5981,2019,Sida,20,22,Sweden,SE,23-07-19,211400.96,01-01-01,25-07-19,"211,400.96",01-01-01,SEK ,9.28,SEK ,9.28,"1,961,590","1,961,590"
23,Afghanistan,AFG23,CHF/000555/HAF10/2-2019/5707,2019,Sida,20,22,Sweden,SE,12-02-19,6526275.08,01-01-01,28-02-19,"6,526,275.08",01-01-01,SEK ,9.09,SEK ,9.09,"59,330,367","59,330,367"
23,Afghanistan,AFG23,CHF/000555/HAF10/11-2019/6240,2019,Sida,20,22,Sweden,SE,18-11-19,2607417.02,01-01-01,29-11-19,"2,607,417.02",01-01-01,SEK ,9.72,SEK ,9.72,"25,354,523","25,354,523"
23,Afghanistan,AFG23,CHF/000551/HAF10/7-2019/5982,2019,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,18-07-19,12462500,01-01-01,24-07-19,"12,462,500.00",01-01-01,GBP ,0.79,GBP ,0.79,"9,820,450","9,820,450"
23,Afghanistan,AFG23,CHF/000551/HAF10/11-2019/6163,2019,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,01-11-19,51970800.51,01-01-01,18-09-19,"49,792,000.00",01-01-01,GBP ,0.78,GBP ,0.81,"40,381,312","40,381,312"
23,Afghanistan,AFG23,CHF/000550/HAF10/3-2019/5632,2019,Government of Canada (Former CIDA),18,7,Canada,CA,09-01-19,365305.01,01-01-01,15-01-19,"376,049.27",01-01-01,CAD ,1.36,CAD ,1.33,"498,641","498,641"
23,Afghanistan,AFG23,CHF/000551/HAF10/10-2019/5982,2019,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,18-07-19,5034523.65,01-01-01,11-10-19,"4,885,720.00",01-01-01,GBP ,0.79,GBP ,0.81,"3,967,205","3,967,205"
23,Afghanistan,AFG23,CHF/000232/HAF10/1-2019/5647,2019,Government of Switzerland,16,24,Switzerland,CH,01-01-19,599965,01-01-01,25-01-19,"599,965.00",01-01-01,USD ,1,USD ,1,"599,965","599,965"
23,Afghanistan,AFG23,CHF/000187/HAF10/7-2019/5943,2019,Government of Norway,12,17,Norway,NO,08-07-19,993275.57,01-01-01,18-07-19,"993,275.57",01-01-01,NOK ,8.52,NOK ,8.52,"8,464,694","8,464,694"
23,Afghanistan,AFG23,CHF/000187/HAF10/12-2019/6289,2019,Government of Norway,12,17,Norway,NO,04-12-19,546294.64,01-01-01,11-12-19,"546,294.64",01-01-01,NOK ,9.17,NOK ,9.17,"5,012,253","5,012,253"
